,Mean Fitness,Best Fitness,Best Mate_prob,Best Mutate_prob,Best Threshold
231,-327481809.33666253,-327481809.33666253,0.0234375,0.01171875,0.0546875
232,-327481809.33666253,-327481809.33666253,0.0234375,0.01171875,0.0546875
233,-327481809.33666253,-327481809.33666253,0.0234375,0.01171875,0.0546875
234,-327481809.33666253,-327481809.33666253,0.0234375,0.01171875,0.0546875
235,-327481809.33666253,-327481809.33666253,0.0234375,0.01171875,0.0546875
236,-327481809.33666253,-327481809.33666253,0.0234375,0.01171875,0.0546875
237,-327481809.33666253,-327481809.33666253,0.0234375,0.01171875,0.0546875
238,-327481809.33666253,-327481809.33666253,0.0234375,0.01171875,0.0546875
239,-327481809.33666253,-327481809.33666253,0.0234375,0.01171875,0.0546875
240,-327481809.33666253,-327481809.33666253,0.0234375,0.01171875,0.0546875
241,-327481809.33666253,-327481809.33666253,0.0234375,0.01171875,0.0546875
242,-327481809.33666253,-327481809.33666253,0.0234375,0.01171875,0.0546875
243,-327481809.33666253,-327481809.33666253,0.0234375,0.01171875,0.0546875
244,-327481809.33666253,-327481809.33666253,0.0234375,0.01171875,0.0546875
245,-327481809.33666253,-327481809.33666253,0.0234375,0.01171875,0.0546875
246,-327481809.33666253,-327481809.33666253,0.0234375,0.01171875,0.0546875
247,-268223868.7518885,-268223868.7518885,0.0234375,0.51171875,0.1171875
248,-194077871.22204447,-194077871.22204447,0.0234375,0.51171875,0.0390625
249,-194077871.22204447,-194077871.22204447,0.0234375,0.51171875,0.0390625
250,-194077871.22204447,-194077871.22204447,0.0234375,0.51171875,0.0390625
251,-194077871.22204447,-194077871.22204447,0.0234375,0.51171875,0.0390625
252,-194077871.22204447,-194077871.22204447,0.0234375,0.51171875,0.0390625
253,-62903701.3433578,-62903701.3433578,0.015625,0.51171875,0.3515625
254,-62903701.3433578,-62903701.3433578,0.015625,0.51171875,0.3515625
255,-157206841.48249292,-157206841.48249292,0.015625,0.52734375,0.3515625
256,-157206841.48249292,-157206841.48249292,0.015625,0.52734375,0.3515625
257,-157206841.48249292,-157206841.48249292,0.015625,0.52734375,0.3515625
258,-157206841.48249292,-157206841.48249292,0.015625,0.52734375,0.3515625
259,-157206841.48249292,-157206841.48249292,0.015625,0.52734375,0.3515625
260,-133789672.6332345,-133789672.6332345,0.015625,0.52734375,0.3515625
261,-133789672.6332345,-133789672.6332345,0.015625,0.52734375,0.3515625
262,-133789672.6332345,-133789672.6332345,0.015625,0.52734375,0.3515625
263,-133789672.6332345,-133789672.6332345,0.015625,0.52734375,0.3515625
264,-161047470.02617502,-161047470.02617502,0.015625,0.52734375,0.3515625
265,-161047470.02617502,-161047470.02617502,0.015625,0.52734375,0.3515625
266,-230804370.99494958,-230804370.99494958,0.5,0.52734375,0.3515625
267,-230804370.99494958,-230804370.99494958,0.5,0.52734375,0.3515625
268,-219198462.76708627,-219198462.76708627,0.5,0.51953125,0.09375
269,-219198462.76708627,-219198462.76708627,0.5,0.51953125,0.09375
270,-158624837.97185206,-158624837.97185206,0.515625,0.58203125,0.09375
271,-337372228.24589276,-337372228.24589276,0.5625,0.58203125,0.09375
272,-337372228.24589276,-337372228.24589276,0.5625,0.58203125,0.09375
273,-304485216.1371162,-304485216.1371162,0.5625,0.08203125,0.09375
274,-304485216.1371162,-304485216.1371162,0.5625,0.08203125,0.09375
275,-304485216.1371162,-304485216.1371162,0.5625,0.08203125,0.09375
276,-304485216.1371162,-304485216.1371162,0.5625,0.08203125,0.09375
277,-341431604.8934486,-341431604.8934486,0.578125,0.08203125,0.06640625
278,-341431604.8934486,-341431604.8934486,0.578125,0.08203125,0.06640625
279,-426852812.59928966,-426852812.59928966,0.5625,0.51953125,0.06640625
280,-375403085.49024606,-375403085.49024606,0.5625,0.765625,0.06640625
281,-320339700.8376756,-320339700.8376756,0.03515625,0.828125,0.00390625
282,-320339700.8376756,-320339700.8376756,0.03515625,0.828125,0.00390625
283,-231477144.0268066,-231477144.0268066,0.03515625,0.578125,0.015625
284,-238545903.07619715,-238545903.07619715,0.03515625,0.578125,0.109375
285,-338423052.0779159,-338423052.0779159,0.03515625,0.578125,0.15625
286,-338423052.0779159,-338423052.0779159,0.03515625,0.578125,0.15625
287,-372169840.17791057,-372169840.17791057,0.03515625,0.578125,0.125
288,-389096674.72587013,-389096674.72587013,0.03515625,0.578125,0.140625
289,-408899679.09268165,-408899679.09268165,0.03515625,0.578125,0.140625
290,-408899679.09268165,-408899679.09268165,0.03515625,0.578125,0.140625
291,-280119991.6610851,-280119991.6610851,0.53515625,0.578125,0.890625
292,-280119991.6610851,-280119991.6610851,0.53515625,0.578125,0.890625
293,-280119991.6610851,-280119991.6610851,0.53515625,0.578125,0.890625
294,-280119991.6610851,-280119991.6610851,0.53515625,0.578125,0.890625
295,-292577348.0917492,-292577348.0917492,0.53515625,0.578125,0.390625
296,-292577348.0917492,-292577348.0917492,0.53515625,0.578125,0.390625
297,-232482789.83468437,-232482789.83468437,0.62890625,0.578125,0.3984375
298,-335516152.1132221,-335516152.1132221,0.62890625,0.578125,0.921875
299,-343903232.86778235,-343903232.86778235,0.62890625,0.578125,0.921875
300,-312469375.10815525,-312469375.10815525,0.375,0.578125,0.921875
301,-312469375.10815525,-312469375.10815525,0.375,0.578125,0.921875
302,-312469375.10815525,-312469375.10815525,0.375,0.578125,0.921875
303,-243247054.19415975,-243247054.19415975,0.375,0.734375,0.984375
304,-274120174.46675086,-274120174.46675086,0.375,0.734375,0.984375
305,-274120174.46675086,-274120174.46675086,0.375,0.734375,0.984375
306,-323045533.3116355,-323045533.3116355,0.375,0.7421875,0.859375
307,-315929631.26258993,-315929631.26258993,0.4453125,0.7421875,0.96875
308,-315929631.26258993,-315929631.26258993,0.4453125,0.7421875,0.96875
309,-315786345.5877831,-315786345.5877831,0.4453125,0.6796875,0.96875
310,-433430329.9395063,-433430329.9395063,0.4765625,0.68359375,0.96875
311,-433430329.9395063,-433430329.9395063,0.4765625,0.68359375,0.96875
312,-514312954.82934976,-514312954.82934976,0.4765625,0.68359375,0.96875
313,-491111088.9020672,-491111088.9020672,0.9765625,0.68359375,0.96875
314,-311760184.2703953,-311760184.2703953,0.9765625,0.68359375,0.9375
315,-237946545.08929634,-237946545.08929634,0.984375,0.74609375,0.9375
316,-323255757.12141776,-323255757.12141776,0.984375,0.71484375,0.44140625
317,-363362447.2537496,-363362447.2537496,0.984375,0.70703125,0.44140625
318,-334734216.3858857,-334734216.3858857,0.98828125,0.703125,0.44140625
319,-334734216.3858857,-334734216.3858857,0.98828125,0.703125,0.44140625
320,-425091469.8613038,-425091469.8613038,0.92578125,0.109375,0.94140625
321,-425091469.8613038,-425091469.8613038,0.92578125,0.109375,0.94140625
322,-371947160.9860935,-371947160.9860935,0.92578125,0.109375,0.94921875
323,-371947160.9860935,-371947160.9860935,0.92578125,0.109375,0.94921875
324,-371947160.9860935,-371947160.9860935,0.92578125,0.109375,0.94921875
325,-371947160.9860935,-371947160.9860935,0.92578125,0.109375,0.94921875
326,-371947160.9860935,-371947160.9860935,0.92578125,0.109375,0.94921875
327,-371947160.9860935,-371947160.9860935,0.92578125,0.109375,0.94921875
328,-371947160.9860935,-371947160.9860935,0.92578125,0.109375,0.94921875
329,-371947160.9860935,-371947160.9860935,0.92578125,0.109375,0.94921875
330,-371947160.9860935,-371947160.9860935,0.92578125,0.109375,0.94921875
331,-371947160.9860935,-371947160.9860935,0.92578125,0.109375,0.94921875
332,-371947160.9860935,-371947160.9860935,0.92578125,0.109375,0.94921875
333,-371947160.9860935,-371947160.9860935,0.92578125,0.109375,0.94921875
334,-371947160.9860935,-371947160.9860935,0.92578125,0.109375,0.94921875
335,-371947160.9860935,-371947160.9860935,0.92578125,0.109375,0.94921875
336,-371947160.9860935,-371947160.9860935,0.92578125,0.109375,0.94921875
337,-371947160.9860935,-371947160.9860935,0.92578125,0.109375,0.94921875
338,-371947160.9860935,-371947160.9860935,0.92578125,0.109375,0.94921875
339,-273788051.91032434,-273788051.91032434,0.43359375,0.109375,0.94140625
340,-181721905.7291546,-181721905.7291546,0.30859375,0.09375,0.87890625
341,-181721905.7291546,-181721905.7291546,0.30859375,0.09375,0.87890625
342,-181721905.7291546,-181721905.7291546,0.30859375,0.09375,0.87890625
343,-181721905.7291546,-181721905.7291546,0.30859375,0.09375,0.87890625
344,-181721905.7291546,-181721905.7291546,0.30859375,0.09375,0.87890625
345,-181721905.7291546,-181721905.7291546,0.30859375,0.09375,0.87890625
346,-181721905.7291546,-181721905.7291546,0.30859375,0.09375,0.87890625
347,-181721905.7291546,-181721905.7291546,0.30859375,0.09375,0.87890625
348,-181721905.7291546,-181721905.7291546,0.30859375,0.09375,0.87890625
349,-181721905.7291546,-181721905.7291546,0.30859375,0.09375,0.87890625
350,-181721905.7291546,-181721905.7291546,0.30859375,0.09375,0.87890625
